27,72
43,69
27,39
53,55
64,56
70,69
53,70
53,39
68,40
70,48
61,36
52,47
53,62
68,62
34,72
28,62
27,51
95,55
99,55
100,64
95,72
86,66
80,57
82,48
86,39
97,38
100,39
110,69
110,60
110,51
110,38
116,43
120,53
127,45
132,38
132,47
132,57
132,64
135,69
157,78
152,76
150,65
150,56
139,51
152,44
152,34
161,30
170,66
175,70
182,64
186,53
186,40
178,39
169,39
201,70
200,61
200,51
200,40
207,51
215,44
219,40
211,56
215,62
219,70
238,70
238,60
238,47
238,36
246,39
228,39
259,39
267,39
276,39
266,45
266,52
267,61
267,69
287,38
287,48
287,57
289,66
296,72
304,68
306,57
308,47
306,34
313,81
323,81
331,81
340,81
343,39
348,47
351,55
358,52
364,45
368,35
356,61
356,70
376,40
375,47
376,55
376,61
376,69
385,49
389,43
394,36
385,60
392,65
398,72
415,68
414,59
414,48
415,36
423,36
406,38
431,40
435,47
441,56
448,51
453,40
444,65
444,70
461,70
461,62
462,55
462,44
462,38
470,45
473,53
479,64
482,70
482,57
483,49
483,39
503,72
512,66
515,56
514,47
508,39
502,38
494,41
490,52
493,62
497,70
516,81
521,81
529,81
539,81
549,41
553,51
553,55
556,66
563,68
567,57
570,44
569,48
583,40
583,48
582,53
579,62
584,68
594,68
601,62
601,55
601,48
601,38
611,39
615,45
619,55
624,61
629,68
629,38
624,44
616,61
611,68
609,68
654,39
647,39
641,39
641,44
641,52
641,57
641,66
649,69
655,68
647,51
654,52
667,41
668,49
668,59
668,65
672,41
672,48
678,53
683,45
688,38
689,47
689,53
689,66
700,40
700,49
700,57
700,64
705,72
713,69
718,56
718,49
718,36
718,62
727,39
735,40
746,40
737,47
737,57
738,65
738,73
759,32
764,34
768,39
768,45
768,52
775,55
768,57
767,69
764,76
758,78
